,2019,2020,2021,2022,2023,2024
TCS.NS,1846.69,1693.28,2980.3,3545.3,3075.53,3813.88
INFY.NS,645.18,562.86,1229.75,1747.93,1337.26,1437.67
RELIANCE.NS,621.41,500.23,911.9,1203.63,1068.37,1479.75
HDFCBANK.NS,1090.79,818.4,1418.27,1402.19,1552.78,1434.9
ICICIBANK.NS,387.21,315.54,567.34,713.87,862.66,1090.26
KOTAKBANK.NS,1334.65,1292.15,1747.72,1749.44,1729.53,1788.74
LT.NS,1308.13,769.23,1361.77,1715.69,2127.48,3772.88
SBIN.NS,297.81,181.64,336.15,459.61,495.35,731.11
AXISBANK.NS,761.47,377.42,694.55,757.99,856.23,1051.39
BAJFINANCE.NS,295.28,218.49,507.81,715.87,553.84,718.02
HINDUNILVR.NS,1526.3,2101.73,2262.64,1931.97,2452.19,2223.4
ITC.NS,228.54,134.54,184.28,222.29,353.58,405.28
NESTLEIND.NS,1015.07,1531.58,1631.66,1670.95,1915.06,2547.34
MARICO.NS,317.82,256.29,391.04,487.56,468.63,493.18
BRITANNIA.NS,2744.55,2433.79,3389.61,3059.08,4194.69,4832.3
COLPAL.NS,1088.4,1105.8,1427.52,1429.47,1431.37,2640.42
DABUR.NS,381.09,430.51,520.45,521.1,534.5,524.18
GODREJCP.NS,650.38,506.45,709.48,726.64,941.39,1200.3
EMAMILTD.NS,360.61,156.5,456.06,426.02,348.18,434.27
JUBLFOOD.NS,287.47,291.86,577.38,523.79,438.09,453.91
ASIANPAINT.NS,1411.65,1593.77,2432.52,2970.76,2682.96,2812.67
BERGEPAINT.NS,267.27,407.01,625.61,574.18,479.46,562.85
KANSAINER.NS,286.99,251.85,394.86,309.03,256.17,271.9
PIDILITIND.NS,1219.44,1333.24,1778.5,2421.26,2331.31,3036.18
INDIGO.NS,1412.38,1066.15,1631.95,2014.15,1910.65,3548.95
TITAN.NS,1094.0,915.87,1534.19,2503.3,2491.11,3715.03
BAJAJ-AUTO.NS,2386.68,1768.51,3209.87,3304.95,3646.63,8747.56
HEROMOTOCO.NS,2195.23,1426.57,2627.18,2114.36,2247.91,4532.9
EICHERMOT.NS,1906.99,1264.75,2514.8,2387.8,2884.7,3903.4
TVSMOTOR.NS,464.18,290.23,573.93,617.57,1068.53,2130.27
M&M.NS,619.17,270.68,758.67,778.11,1129.28,1886.86
TATAMOTORS.NS,185.18,70.23,298.3,428.72,415.92,983.79
ASHOKLEY.NS,39.17,19.58,51.61,53.85,64.83,82.64
MARUTI.NS,6477.91,4117.52,6645.27,7372.18,8137.98,12451.99
ULTRACEMCO.NS,3946.42,3167.23,6597.5,6496.22,7542.74,9895.72
AMBUJACEM.NS,209.63,139.16,298.67,295.54,361.02,617.37
ACC.NS,1552.12,912.76,1829.89,2068.43,1647.36,2527.11
SHREECEM.NS,18389.41,17272.94,29006.26,23750.74,25985.27,26358.61
JKCEMENT.NS,823.24,919.28,2846.86,2400.09,2903.32,4272.81
RAMCOCEM.NS,729.69,506.45,993.16,760.85,752.56,843.29
JSWSTEEL.NS,269.59,136.99,443.44,700.32,678.06,862.85
TATASTEEL.NS,43.76,22.62,69.89,115.05,96.94,156.28
SAIL.NS,46.57,19.81,68.81,92.57,81.0,139.66
HINDALCO.NS,207.39,92.56,317.75,557.47,400.42,565.36
VEDL.NS,83.79,29.67,115.61,233.16,205.04,257.36
COALINDIA.NS,139.39,90.02,92.05,144.72,186.77,415.98
NMDC.NS,22.98,17.45,31.94,38.36,34.25,68.5
JINDALSTEL.NS,180.46,81.22,339.48,527.63,543.37,866.54
NATIONALUM.NS,41.26,22.67,44.23,105.48,72.25,153.88
MOIL.NS,130.89,87.82,134.11,171.94,137.6,306.59
ADANIENT.NS,149.52,137.26,1028.57,2011.05,1747.98,3249.13
ADANIPORTS.NS,367.58,243.94,681.83,756.79,621.97,1363.39
ADANIPOWER.NS,48.7,27.75,85.05,185.1,191.6,560.45
ADANIGREEN.NS,38.7,153.25,1104.85,1914.7,881.15,1888.3
ADANITRANS.NS,0.0,0.0,0.0,0.0,0.0,0.0
POWERGRID.NS,79.45,67.82,98.28,140.51,154.81,270.74
NTPC.NS,105.89,67.78,91.15,122.18,165.73,334.98
TATAPOWER.NS,67.93,30.57,99.19,232.12,186.53,402.7
NHPC.NS,18.51,16.01,20.94,25.22,38.3,88.34
JSWENERGY.NS,68.92,40.51,85.21,295.55,237.23,514.71
BHARTIARTL.NS,301.62,424.99,500.42,744.03,741.44,1210.6
IDEA.NS,17.75,3.1,9.25,9.65,5.8,14.0
BSOFT.NS,93.35,57.49,241.47,438.51,255.33,754.08
TECHM.NS,693.15,516.76,913.39,1381.4,1015.1,1189.3
WIPRO.NS,127.72,96.01,202.61,289.57,178.69,237.75
LTTS.NS,1496.49,1092.34,2532.6,4907.02,3277.26,5498.17
HCLTECH.NS,463.53,367.47,839.49,1023.51,1000.1,1497.2
MPHASIS.NS,831.86,576.65,1605.45,3090.95,1678.35,2362.48
COFORGE.NS,255.4,222.34,571.43,875.03,753.86,1091.27
PERSISTENT.NS,295.72,265.01,931.88,2326.64,2271.74,3964.08
HAVELLS.NS,742.76,466.03,1021.63,1127.52,1170.44,1499.97
VGUARD.NS,215.77,152.42,247.91,213.02,248.26,333.05
CROMPTON.NS,219.53,200.56,380.93,365.0,287.93,268.25
BAJAJELEC.NS,496.84,250.29,910.54,1002.0,983.52,925.1
POLYCAB.NS,0.0,721.75,1341.81,2311.59,2834.8,5081.04
FINCABLES.NS,446.42,192.97,367.8,368.46,802.81,971.44
KEI.NS,413.68,265.63,519.51,1256.17,1695.19,3496.91
SIEMENS.NS,1108.83,1096.4,1823.48,2349.75,3312.58,5451.65
ABB.NS,1163.77,913.14,1383.82,2125.56,3322.92,6433.43
SCHNEIDER.NS,111.5,65.7,94.4,118.55,155.7,778.1
DMART.NS,1492.95,2187.5,2859.05,4003.35,3401.05,4483.3
UBL.NS,1383.5,901.36,1220.96,1465.47,1410.58,1770.74
PAGEIND.NS,23929.75,16054.42,28969.37,41588.29,36712.88,33908.26
TRENT.NS,354.13,480.97,747.07,1270.3,1370.8,3880.77
RAJESHEXPO.NS,664.7,544.86,477.36,689.94,610.1,289.0
BATAINDIA.NS,1342.51,1197.09,1371.72,1917.85,1386.86,1349.17
RELAXO.NS,400.67,592.4,866.82,1056.87,845.5,819.6
PVRINOX.NS,0.0,0.0,0.0,0.0,1534.0,1385.3
INOXWIND.NS,17.04,4.6,17.45,27.7,23.34,131.18
INDIAMART.NS,0.0,954.9,3815.84,2136.15,2481.76,2690.01
BIOCON.NS,306.04,267.82,404.78,332.22,204.6,268.97
DIVISLAB.NS,1649.35,1938.24,3530.25,4307.18,2783.65,3546.18
CIPLA.NS,508.76,411.64,793.49,996.53,885.75,1486.05
SUNPHARMA.NS,447.73,333.94,572.68,885.56,962.02,1609.07
AUROPHARMA.NS,763.81,400.76,858.85,655.8,515.81,1113.35
LUPIN.NS,741.03,573.98,999.8,736.01,642.8,1616.66
DRREDDY.NS,543.87,607.3,884.48,841.28,911.59,1242.19
GLENMARK.NS,636.34,201.66,457.54,437.25,462.68,981.04
ZYDUSLIFE.NS,326.66,260.71,430.11,341.97,485.8,997.31
ALKEM.NS,1659.52,2237.5,2690.58,3552.5,3336.41,4965.41
IRCTC.NS,0.0,190.03,340.45,753.41,561.36,957.24
ZOMATO.NS,0.0,0.0,0.0,0.0,0.0,0.0
NYKAA.NS,0.0,0.0,0.0,281.59,124.25,164.55
PAYTM.NS,0.0,0.0,0.0,528.45,636.8,406.05
POLICYBZR.NS,0.0,0.0,0.0,694.3,638.9,1172.2
